iter	Passed	Remaining
727	25829	9650
728	25863	9614
729	25898	9578
730	25933	9543
731	25967	9507
732	26002	9471
733	26037	9436
734	26072	9400
735	26107	9364
736	26142	9329
737	26177	9293
738	26211	9257
739	26247	9221
740	26283	9186
741	26317	9150
742	26357	9116
743	26392	9081
744	26426	9045
745	26461	9009
746	26496	8974
747	26533	8939
748	26569	8903
749	26603	8867
750	26638	8832
751	26673	8796
752	26708	8761
753	26743	8725
754	26778	8689
755	26812	8653
756	26846	8617
757	26882	8582
758	26916	8546
759	26950	8510
760	26985	8475
761	27020	8439
762	27055	8403
763	27090	8368
764	27124	8332
765	27158	8296
766	27200	8262
767	27234	8227
768	27269	8191
769	27305	8156
770	27339	8120
771	27374	8084
772	27409	8049
773	27443	8013
774	27478	7977
775	27513	7942
776	27550	7907
777	27584	7871
778	27619	7835
779	27654	7799
780	27692	7765
781	27727	7729
782	27763	7694
783	27798	7658
784	27833	7623
785	27869	7587
786	27903	7552
787	27939	7516
788	27973	7480
789	28007	7444
790	28044	7409
791	28078	7374
792	28112	7338
793	28146	7302
794	28181	7266
795	28215	7231
796	28250	7195
797	28285	7159
798	28319	7124
799	28354	7088
800	28389	7053
801	28424	7017
802	28459	6982
803	28494	6946
804	28529	6910
805	28565	6875
806	28599	6839
807	28634	6804
808	28668	6768
809	28705	6733
810	28739	6697
811	28775	6662
812	28809	6626
813	28843	6590
814	28879	6555
815	28912	6519
816	28947	6484
817	28982	6448
818	29017	6412
819	29052	6377
820	29087	6341
821	29120	6305
822	29154	6270
823	29190	6234
824	29224	6199
825	29259	6163
826	29293	6127
827	29328	6092
828	29363	6056
829	29398	6021
830	29432	5985
831	29468	5950
832	29504	5915
833	29540	5879
834	29574	5844
835	29609	5808
836	29643	5772
837	29679	5737
838	29714	5702
839	29749	5666
840	29784	5631
841	29820	5595
842	29855	5560
843	29889	5524
844	29925	5489
845	29960	5453
846	29995	5418
847	30030	5382
848	30065	5347
849	30099	5311
850	30132	5275
851	30167	5240
852	30201	5204
853	30236	5169
854	30272	5133
855	30308	5098
856	30343	5063
857	30377	5027
858	30412	4992
859	30446	4956
860	30481	4920
861	30517	4885
862	30551	4850
863	30586	4814
864	30620	4778
865	30654	4743
866	30691	4708
867	30726	4672
868	30761	4637
869	30796	4601
870	30830	4566
871	30864	4530
872	30899	4495
873	30934	4459
874	30969	4424
875	31005	4388
876	31040	4353
877	31074	4317
878	31109	4282
879	31143	4246
880	31177	4211
881	31215	4176
882	31249	4140
883	31292	4106
884	31328	4070
885	31363	4035
886	31397	3999
887	31433	3964
888	31467	3929
889	31504	3893
890	31540	3858
891	31575	3823
892	31609	3787
893	31645	3752
894	31680	3716
895	31715	3681
896	31752	3645
897	31786	3610
898	31820	3574
899	31855	3539
900	31899	3505
901	31936	3469
902	31971	3434
903	32006	3398
904	32042	3363
905	32078	3328
906	32111	3292
907	32147	3257
908	32186	3222
909	32221	3186
910	32264	3152
911	32298	3116
912	32333	3081
913	32369	3045
914	32404	3010
915	32439	2974
916	32474	2939
917	32508	2903
918	32544	2868
919	32580	2833
920	32613	2797
921	32648	2761
922	32685	2726
923	32720	2691
924	32754	2655
925	32790	2620
926	32824	2584
927	32859	2549
928	32893	2513
929	32928	2478
930	32962	2442
931	32998	2407
932	33033	2372
933	33066	2336
934	33101	2301
935	33135	2265
936	33170	2230
937	33205	2194
938	33240	2159
939	33275	2123
940	33310	2088
941	33346	2053
942	33380	2017
943	33414	1982
944	33450	1946
945	33484	1911
946	33519	1875
947	33554	1840
948	33589	1805
949	33624	1769
950	33658	1734
951	33695	1698
952	33730	1663
953	33766	1628
954	33801	1592
955	33836	1557
956	33871	1521
957	33905	1486
958	33942	1451
959	33977	1415
960	34011	1380
961	34047	1344
962	34082	1309
963	34116	1274
964	34149	1238
965	34185	1203
966	34219	1167
967	34254	1132
968	34290	1096
969	34324	1061
970	34359	1026
971	34403	991
972	34441	955
973	34478	920
974	34514	884
975	34550	849
976	34585	814
977	34619	778
978	34654	743
979	34693	708
980	34728	672
981	34762	637
982	34797	601
983	34832	566
984	34866	530
985	34902	495
986	34936	460
987	34971	424
988	35006	389
989	35040	353
990	35075	318
991	35110	283
992	35143	247
993	35178	212
994	35214	176
995	35248	141
996	35283	106
997	35317	70
998	35353	35
999	35387	0
